timestamp_utc,team,model,type,score,notes
2026-03-03T08:40:26Z,faranbutt,,human,0.829545,
2026-03-04T14:35:23Z,Maha,,human,0.400000,this was hard
2026-03-07T17:24:29Z,emmanuel_owusu,DAGNet,human,0.761905,Domain-Adversarial Graph Neural Network (DANN-GNN) for diabetic retinopathy detection on retinal vessel graphs.
2026-03-08T18:06:22Z,peguy_team,GCN_degree,human,0.829545,3-layer GCN with node degree feature and global mean/max/sum pooling
2026-03-11T19:49:15Z,samuel,GIN,human,0.829545,GCN and GIN layers
2026-03-16T00:08:57Z,SanaeZR,GCN,human,0.583333,2-layer GCN
2026-03-23T13:48:19Z,Sargam1412,BiGCN,human,0.761905,Data augmentation to manage small dataset
2026-03-25T19:06:52Z,Mubaraq,GAT,human,0.761905,
2026-03-27T06:17:35Z,Idrees_Bhat,GrapeGAT-Optimized,human,0.524887,Improved GAT with correct graph feature batching bidirectional edges residual connections and label smoothing
2026-03-28T17:33:09Z,Abderrahmane,GCN,human,0.488636,3-layer GCN (node degree as additional feature)
2026-03-28T17:48:44Z,AIkram,VesselGAT,human,0.761905,3-layer GAT with skip connections mean+max pooling weighted CE for class imbalance
2026-04-02T17:05:12Z,Ignatius,GAT,human,0.659091,3-layer GAT with multi-head attention multiple pooling strategies and graph-level features.
2026-04-03T00:42:05Z,TugaYousif,GATConv,human,0.829545,/
2026-04-04T00:03:19Z,Murad,GIN,human,0.761905,3-layer GIN with JumpingKnowledge multi-pool spectral+topological graph features 5-model full-retrain ensemble DropEdge label smoothing
2026-04-09T19:09:49Z,Elhouiti_Ikram,GIN,human+llm,0.761905,1 layer GIN
2026-04-11T08:33:28Z,RosaPY,GIN,human,0.761905,2 layers
2026-05-15T22:38:55Z,DeepSeek-v4-pro,,llm,0.829545,/
2026-05-17T20:51:38Z,gpt5.4,,llm,0.444444,
2026-05-18T04:27:43Z,llm_claude_opus_47,GRAPE_GAT,llm,0.829545,GNN-CB LLM baseline. Generated by Claude Opus 4.7 (claude-opus-4-7) under frozen prompt template prompt.md v1.1 (temperature=0 top_p=1 seed=42). Agent mode (Claude Code). Zero few-shot zero hints zero edits zero repair iterations. Pipeline -- 6-dim node features (centered x/y per-graph vessel width type indicator normalized degree log1p(degree)); 3-layer GATConv hidden=32 heads=4 dropout=0.3 with BatchNorm; mean+max+sum triple pool; 2-layer MLP head; CE with inverse-frequency class weights (3:1 imbalance); Adam lr=5e-3 wd=5e-4 batch=8; early stop on val Macro-F1 patience=20 max 200 epochs; 5-fold stratified CV with logit-averaging across fold-best models for test prediction. Local 5-fold CV Macro-F1 0.9273 +/- 0.0601 OOF Macro-F1 0.9264. CPU only wall-clock ~67s.
2026-05-18T11:30:33Z,Gemini-3-Flash,GAT,llm,0.761905,3-layer Graph Attention Network (GAT) model with multi-head attention (4 heads, dropout=0.3)
2026-05-18T15:35:21Z,llm_gemini_22_pro,GATConv,llm,0.829545,GNN-CB LLM baseline. Generated by Gemini 2.5 Pro (gemini-2.5-pro) under frozen prompt template prompt.md v1.1 (temperature=0, top_p=0.99, max_output_tokens=10000, seed=42). API-only mode with execute-and-repair loop (repairs used 2/5). Zero few-shot, zero hints, zero edits beyond auto-repair. Pipeline -- 3-layer GATConv hidden=64 heads=4 dropout=0.6 with BatchNorm after each conv (layers 1 and 2 multi-head, final layer single-head concat=False); mean+max pool concatenated as graph embedding; 2-layer MLP head (Linear -> ReLU -> Linear); AdamW lr=1e-3 weight_decay=5e-4; 150 epochs full-batch training; CrossEntropyLoss. CPU only, total elapsed 183.80s.
2026-05-18T19:11:17Z,Kimi_K_2.6,VesselGCN-Ensemble,llm,0.829545,5-fold stratified CV ensemble of 3-layer GCN with graph topological features
